r,r,g,g,g,r,r,r,r,g,g,g,r,r,r,r,g,g,g,r,r,r,r,g
r,r,g,g,g,r,r,r,g,g,g,r,r,r,r,g,g,g,r,r,r,r,g,g
g,g,r,r,r,g,g,g,r,r,r,r,g,g,g,r,r,r,r,g,g,g,r,r
g,g,r,r,r,g,g,r,r,r,r,g,g,g,r,r,r,r,g,g,g,r,r,r
r,r,r,g,g,g,r,r,r,g,g,g,r,r,r,r,g,g,g,r,r,r,r,g
r,r,r,g,g,g,r,r,g,g,g,r,r,r,r,g,g,g,r,r,r,r,g,g
r,r,r,g,g,g,g,g,r,r,r,r,g,g,g,r,r,r,r,g,g,g,r,r
g,g,g,r,r,g,g,r,r,r,r,g,g,g,r,r,r,r,g,g,g,r,r,r
g,g,r,r,r,g,g,r,r,g,g,g,r,r,r,r,g,g,g,r,r,r,r,g
r,r,g,g,g,r,r,r,g,g,g,r,r,r,r,g,g,g,r,r,r,r,g,g
r,r,g,g,r,r,g,g,r,r,r,r,g,g,g,r,r,r,r,g,g,g,r,r
r,r,r,r,g,g,g,r,r,r,r,g,g,g,r,r,r,r,g,g,g,r,r,r
r,r,g,g,g,g,r,r,r,r,g,g,g,r,r,r,r,g,g,g,r,r,r,r
g,g,r,r,g,g,g,r,r,r,g,g,g,r,r,r,r,g,g,g,r,r,r,r
r,r,g,g,g,r,r,g,g,r,r,r,r,g,g,g,r,r,r,r,g,g,g,r
g,g,r,r,r,r,g,g,g,r,r,r,r,g,g,g,r,r,u,u,u,u,u,u
u,u,u,u,u,u,u,u,u,u,u,u,u,u,u,u,u,u,u,u,u,u,u,u
u,u,u,u,u,u,u,u,u,u,u,u,u,u,u,u,u,u,u,u,u,u,u,u
